baseline_metric_set,baseline_label,baseline_f1,f1_without_cfs,f1_with_cfs
jit,label_adhoc,0.3040725939706445,0.36251724182537093,0.3378868079084145
jit,label_bug,0.06928028290835785,0.1536573703195447,0.18710167981073547
jit_static_pmd,label_adhoc,0.32587163551678217,0.3515751573935545,0.3264935617039782
jit_static_pmd,label_bug,0.1343304843304843,0.19999999999999998,0.175
pmd,label_adhoc,0.24420459331130984,0.32566677825531243,0.31898222969358453
pmd,label_bug,0.1077168436615441,0.18406593406593402,0.18681318681318682
static,label_adhoc,0.35446025475999804,0.3528603991453517,0.33337269144403603
static,label_bug,0.13041276834620485,0.22652076318742984,0.1764705882352941
