metric_set,label,baseline_f1,f1_without_cfs,f1_with_cfs
combined,adhoc,0.26584947155888716,0.3591621997220567,0.3739860391572073
combined,bug,0.00836834733893555,0.02833534055934695,0.13246915331980064
jit,adhoc,0.2909791118482663,0.3766585351696997,0.3592316594180123
jit,bug,0.0509288577268297,0.09603493449781655,0.13204907322826445
pmd,adhoc,0.20325720404473546,0.32598701688728715,0.2582851497806316
pmd,bug,0.042156288360674005,0.09242920828220375,0.13780159945550446
static,adhoc,0.21579940728128438,0.32864986763408177,0.37069697589911516
static,bug,0.0184758491210104,0.036090307174644495,0.1285368332991938
